id,state,female,lgbt,race,age,education,employed,hours_worked,watch_tucker,watch_maddow,therm_biden,therm_trump,therm_harris,therm_pence,therm_obama,therm_dem_party,therm_rep_party,therm_feminists,therm_liberals,therm_labor_unions,therm_big_business,therm_conservatives,therm_supreme_court,therm_congress,therm_police,therm_scientists,contributed_to_party,voted,voted_for_biden,voted_for_trump
1,Oklahoma,0,0,Hispanic,46,Bachelor's degree,1,40,0,0,0,100,0,85,0,0,85,65,30,30,70,85,100,40,85,100,0,0,NA,NA
2,Idaho,1,0,Asian,37,Some college,1,40,0,0,0,0,0,0,50,0,50,100,0,70,50,15,50,15,90,70,0,1,0,0
3,Virginia,1,0,White,40,High school,0,0,0,0,65,0,65,0,90,60,0,75,75,75,0,0,25,0,40,100,0,1,1,0
4,California,0,0,Asian,41,Some college,1,40,0,0,70,15,85,15,85,50,70,70,70,70,85,70,85,100,100,85,0,1,1,0
5,Colorado,0,0,Native American,72,Graduate degree,0,0,0,0,15,85,15,90,10,20,70,30,10,50,0,60,60,10,70,60,0,1,0,1
6,Texas,1,0,White,71,Some college,0,0,0,0,85,0,85,0,60,85,15,60,70,50,40,40,60,85,70,85,0,1,1,0
7,Wisconsin,1,0,White,37,Some college,1,30,0,0,50,75,15,75,15,15,75,60,0,50,50,60,70,50,60,85,0,1,0,1
8,NA,1,0,White,45,High school,0,40,0,0,50,100,50,50,50,50,100,100,NA,0,0,NA,50,50,100,NA,0,0,NA,NA
9,Arizona,1,0,White,70,High school,0,0,0,0,85,0,85,0,60,NA,NA,50,30,30,50,50,50,50,60,60,0,1,NA,NA
10,California,0,0,Hispanic,43,Some college,1,30,0,0,85,0,50,50,100,60,50,50,50,50,15,50,50,40,70,50,0,1,1,0
11,Maryland,1,0,Hispanic,37,High school,1,25,0,0,100,0,100,0,100,100,0,0,50,50,50,50,40,50,50,85,0,1,1,0
12,Wisconsin,0,0,White,55,High school,1,50,0,0,60,0,85,50,85,50,30,70,70,50,60,40,50,50,70,100,0,1,1,0
13,NA,1,0,White,30,High school,0,0,0,0,0,100,0,0,0,0,85,0,0,50,0,85,0,0,50,70,0,1,0,1
14,Virginia,0,0,Asian,38,Graduate degree,0,50,0,0,85,0,85,0,100,85,0,70,70,60,0,30,30,40,0,70,0,1,NA,NA
15,NA,1,0,Black,41,Some college,0,30,0,0,60,40,60,40,85,60,40,60,50,40,70,40,60,60,60,70,0,0,NA,NA
16,NA,0,0,Hispanic,66,Some college,1,40,0,0,0,100,0,100,0,0,100,30,0,50,50,85,60,40,85,70,0,0,NA,NA
17,Massachusetts,0,0,White,54,Bachelor's degree,1,40,0,0,60,0,70,40,85,40,30,50,60,40,40,60,40,40,70,80,0,1,1,0
18,New Hampshire,0,0,White,55,Bachelor's degree,1,40,0,1,85,0,85,15,100,85,16,70,85,60,40,30,70,60,85,85,0,1,NA,NA
19,Nevada,1,0,White,62,Bachelor's degree,0,0,0,0,85,15,70,30,100,85,0,60,60,40,50,50,70,40,70,85,0,1,1,0
20,Wisconsin,1,0,White,80,High school,0,0,0,0,70,15,60,40,100,85,30,85,70,70,60,70,90,50,85,100,0,1,1,0
21,Pennsylvania,0,0,Hispanic,31,Graduate degree,1,50,1,0,0,95,0,95,10,0,100,20,0,30,85,100,80,60,100,80,0,0,NA,NA
22,California,1,0,Hispanic,80,Less than high school,0,0,0,0,75,0,75,0,75,70,15,70,70,75,50,50,40,70,60,NA,0,1,1,0
23,New York,0,1,White,24,Bachelor's degree,1,30,0,1,40,5,45,0,45,25,0,50,35,75,15,10,25,15,15,80,0,1,1,0
24,Arizona,0,0,White,55,Graduate degree,1,40,0,0,0,100,0,100,0,30,85,50,50,50,50,50,50,50,50,50,0,1,NA,NA
25,NA,1,0,Hispanic,59,Less than high school,0,0,0,0,0,15,NA,NA,60,60,15,60,50,50,30,65,70,50,70,70,0,0,NA,NA
26,Georgia,0,0,White,73,Bachelor's degree,0,0,0,0,85,0,70,15,90,80,15,80,80,85,45,45,60,60,65,75,0,1,1,0
27,North Carolina,1,0,White,72,Less than high school,0,0,0,0,0,100,0,100,50,20,100,50,40,70,60,85,85,70,85,85,0,1,0,1
28,Virginia,0,0,White,50,Bachelor's degree,1,40,0,0,50,60,50,50,60,40,50,50,50,50,50,50,50,15,60,60,0,1,0,1
29,New York,0,0,White,66,Graduate degree,0,50,0,1,70,NA,70,15,85,60,0,70,55,50,30,30,40,70,70,90,0,1,1,0
30,Arizona,0,0,Hispanic,41,High school,1,50,0,0,70,0,50,50,100,60,30,15,50,50,50,85,50,70,40,70,0,1,1,0
31,Hawaii,1,0,Asian,52,High school,0,0,0,0,0,85,0,0,100,0,0,0,0,0,0,0,15,0,50,15,0,0,NA,NA
32,NA,0,0,Native American,45,Some college,1,40,0,0,0,0,0,0,0,0,0,50,50,40,40,50,0,0,15,50,0,0,NA,NA
33,Idaho,1,0,White,46,Graduate degree,1,10,0,1,85,0,70,0,100,70,15,70,85,70,15,15,15,40,70,85,1,1,1,0
34,Wisconsin,0,0,White,66,Bachelor's degree,1,40,0,0,0,100,0,100,0,0,70,15,15,60,70,100,70,30,100,50,1,1,0,1
35,New York,1,0,White,60,Graduate degree,1,36,0,0,85,0,85,0,100,60,15,85,85,50,35,50,60,40,70,100,0,1,1,0
36,Texas,1,0,White,73,Bachelor's degree,0,0,0,0,0,85,0,100,0,0,85,50,50,60,70,50,70,50,70,85,0,1,0,1
37,Illinois,1,0,Black,71,Some college,0,0,0,0,60,15,85,60,85,60,40,85,60,85,85,60,85,70,85,85,0,1,1,0
38,Ohio,1,1,White,28,Graduate degree,0,40,0,0,40,0,50,20,80,40,10,100,40,70,10,20,60,10,10,100,0,1,1,0
39,Arkansas,1,0,White,73,Graduate degree,0,0,0,0,85,0,100,0,100,85,0,100,100,70,15,15,50,60,15,100,1,1,1,0
40,Georgia,0,0,White,NA,Bachelor's degree,0,0,0,0,0,100,0,85,0,0,60,15,50,40,60,70,70,15,70,70,0,1,0,1
41,Texas,1,0,White,37,Bachelor's degree,1,50,0,0,15,70,50,85,30,30,85,40,40,50,50,70,50,40,85,50,0,1,0,1
42,Pennsylvania,1,0,Black,56,Some college,1,50,0,0,80,5,80,7,100,78,NA,60,60,85,55,60,55,55,65,65,0,1,1,0
43,New Mexico,0,0,White,48,Graduate degree,1,40,0,0,0,100,0,100,0,0,15,15,2,1,85,85,75,0,100,100,0,1,0,1
44,Kansas,1,0,White,53,Bachelor's degree,1,45,1,0,0,98,0,95,0,10,95,0,0,0,86,86,70,70,100,40,0,1,0,1
45,California,1,0,White,72,Some college,0,0,0,0,50,85,40,70,50,40,85,50,50,50,0,50,50,50,60,50,0,1,0,1
46,Missouri,0,0,White,55,High school,1,40,0,0,0,100,0,100,0,0,100,0,0,50,50,90,20,50,99,90,0,1,0,1
47,Pennsylvania,0,0,White,79,Some college,0,0,0,1,85,0,85,0,100,85,0,60,85,85,40,15,70,60,85,85,1,1,1,0
48,Minnesota,0,0,White,38,Bachelor's degree,1,43,0,0,75,0,70,10,90,80,0,70,70,50,50,40,60,50,50,90,1,1,1,0
49,California,1,0,Asian,42,Bachelor's degree,1,45,0,0,15,80,50,50,5,20,100,50,50,65,50,50,80,70,70,60,0,1,0,1
50,Missouri,0,0,White,70,Graduate degree,0,0,0,0,100,0,70,0,100,70,30,70,50,70,70,50,85,60,85,85,0,1,1,0
51,Texas,1,0,Native American,50,Some college,0,50,0,0,100,15,85,0,100,100,70,30,70,60,0,60,50,60,15,70,0,1,NA,NA
52,Virginia,1,NA,Black,50,Graduate degree,1,40,0,0,100,0,75,0,85,80,0,95,80,85,15,15,30,30,40,100,1,1,1,0
53,NA,1,0,White,27,Less than high school,0,40,0,0,100,85,NA,50,75,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,0,0,White,62,High school,0,0,0,0,0,100,0,0,0,0,70,0,0,70,70,0,60,30,100,0,0,0,NA,NA
55,Pennsylvania,1,0,NA,51,Some college,0,0,0,0,0,85,0,85,0,0,70,20,0,70,85,90,100,30,100,50,0,1,0,0
56,Arizona,0,0,White,60,Some college,0,40,1,0,30,85,15,85,40,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
