year,state,district,party,candidate_name,candidate_type,vote_share,winner
2004,AL,1,dem,JUDY BELK,2,36.81475443244345,0
2004,AL,1,rep,JO BONNER,1,63.12293270210532,1
2004,AL,3,dem,BILL FULLER,2,38.74947108029815,0
2004,AL,3,rep,MIKE ROGERS,1,61.1964163655893,1
2004,AL,4,dem,CARL COLE,2,25.135693169198042,0
2004,AL,4,rep,ROBERT B. ADERHOLT,1,74.73291517417215,1
2004,AZ,1,dem,PAUL BABBITT,2,36.2248422149508,0
2004,AZ,1,rep,RICK RENZI,1,58.541312250593045,1
2004,AZ,2,dem,RANDY CAMACHO,2,38.45501122436924,0
2004,AZ,2,rep,TRENT FRANKS,1,59.1687164119254,1
2004,AZ,8,dem,EVA BACAL,2,36.199546365824034,0
2004,AZ,8,rep,JIM KOLBE,1,60.36264398276322,1
2004,AR,2,dem,VIC SNYDER,1,58.16928457501637,1
2004,AR,2,rep,MARVIN PARKS,2,41.82926873374733,0
2004,AR,3,dem,JAN JUDY,2,38.093374150212526,0
2004,AR,3,rep,JOHN BOOZMAN,1,59.31581260178063,1
2004,CA,3,dem,GABE CASTILLO,3,34.84305385738122,0
2004,CA,3,rep,DAN LUNGREN,3,61.91386859788277,1
2004,CA,9,dem,BARBARA LEE,1,84.5478534655484,1
2004,CA,9,rep,CLAUDIA BERMUDEZ,2,12.264006681331093,0
2004,CA,11,dem,GERALD (JERRY) M. MCNERNEY,2,38.77208807908103,0
2004,CA,11,rep,RICHARD W. POMBO,1,61.22791192091896,1
2004,CA,15,dem,MICHAEL M. HONDA,1,72.02875831630415,1
2004,CA,15,rep,RAYMOND L. CHUKWU,2,27.971241683695848,0
2004,CA,17,dem,SAM FARR,1,66.72998096091388,1
2004,CA,17,rep,MARK RISLEY,2,29.171015791242024,0
2004,CA,20,dem,JIM COSTA,3,53.40260513323296,1
2004,CA,20,rep,ROY ASHBURN,3,46.59739486676705,0
2004,CA,23,dem,LOIS CAPPS,1,63.02983663327835,1
2004,CA,23,rep,DON REGAN,2,34.3540853960548,0
2004,CA,24,dem,BRETT WAGNER,2,33.8974885539669,0
2004,CA,24,rep,ELTON GALLEGLY,1,62.82483173803881,1
2004,CA,26,dem,CYNTHIA M. MATTHEWS,2,42.802151213939105,0
2004,CA,26,rep,DAVID DREIER,1,53.57971712571704,1
2004,CA,29,dem,ADAM B. SCHIFF,1,64.62733039374952,1
