response_id,should_sign,free_response
1,0,"To infringe on student freedoms for funding not only goes against Vanderbilt's stance of ""neutrality"" but is blatantly corrupt. As a top school, it is belittiling and even insulting that the school considers signing a contraxt which inherently lends itself to right-wing ideologies when campus should be an open space for communication."
2,0,"Higher education should not be beholden to the political agenda of a federal administration. We are the front line that must defend against intensifying threats to the operation and integrity of American higher education. Additionally, this would be a clear violation of institutional neutrality because the terms expand far beyond simple protections of federal funding, an issue on which the school is understandably not neutral."
3,0,Vague language used
4,0,This is nonsense
5,0,they would have too much control over our political views and expression
6,0,Especially the last part is detrimental to our free speech society. That’s dictatorship stuff right there. Not that all of it isn’t completely and utterly un-American.
7,0,"The underlying context and intentions of this Compact are inherently contradictory to Vanderbilt’s cornerstone ideologies on political dialogue, an inclusive student body, and a safe community on campus."
8,1,I agree with every requirement that the school needs to meet.
9,0,"There shouldn't be a capping point for international students. While our current student body doesn't exceed that amount, having a limit applies pressure to those who apply. Also, while ""hard science"" is important, giving them full tuition would take away financial aid given to other students in any other major. Lastly, punishing departments that oppose conservative ideas is very broad, and it goes against the purpose of education, to challenge ideas and create change."
10,0,Institutional neutrality
11,0,"This is part of Trump's authoritarian take over. Much of it is good, like freezing tuition and grade integrity, but dismantling voices that go against conservatism is wrong. We are a private institution with free speech. This is a clear violation and wrongful extension of executive power."
12,0,"While some aspects of the proposal can be beneficial, by supporting the trump administrations attack on higher education directly disrespects the diversity and community integral to our student body and the Vanderbilt campus. Furthermore by signing this deal we are indirectly harming other institutions, while collaboration within Vanderbilt is important this mindset needs to be shared across other university. Additionally this proposal pushed for punishment against non conservative values, while respect is vital to constructive conversations banning certain forms of language is a direct attack against our first amendment rights. Lastly by supporting this we are letting the admiration gain power over higher education. Candidly this is a bully attempt and I think we are stronger than this."
13,0,"Make this as hard for this administration as you can, don’t capitulate without a fight"
14,1,"The guidelines laid out are completely reasonable if not necessary. These guidelines will improve the student pool by reassuring the quality of students, while allowing more opportunity for American students. I think data transparency will help the views and ratings of Vanderbilt and add a layer of accountability to the administration. Institutional neutrality is necessary, and while Vanderbilt does a good job, it is important to recognize that colleges across the country (including Vanderbilt), are disproportionately liberal which can skew the perspective of neutral and/or ""middle ground""."
15,0,It wouldn’t uphold the statement of neutrality that Vanderbilt strives for
16,0,"As it stands, the AADS department is “under review.” That is all this compact is about. It will never be about making education more affordable or acceptable, it’s about teaching white kids that white people never do anything wrong and all other people are the enemy."
17,0,Last line is ridiculous. We should not.
18,0,The vague language instated in the order would directly undermine and effectively eradicate Vanderbilt’s stated commitment to free speech. The government having a say in who gets punished for saying what will have a chilling effect on free speech that is not conservative in nature. There is clearly a political agenda behind this compact due to its explicit naming of conservative ideas and it seeking to come after programs and initiatives that promote equality. Also this compact inherently implies the superiority of stem subjects over humanities and that alone is very harmful.
19,0,Kinda common sense
20,1,International enrollment levels don’t really add to the campus. They are very insular. It’s just competing for the same jobs American Vandy students want.
21,0,I’m worried about the precedent that this will set for the future if we allow politicians to be involved in higher ed
22,0,I believe it would entirely contradict our policy of institutional neutrality.
23,0,the compact is a ploy to curb the freedom and self-determination of our university
24,0,"Standardized tests are not always the best indicator of academic excellence and participation. Especially with the extremely profitable industry of test preparation and the costs of accommodation testing. The reflection of individuals should be on the contribution to their community, which will determine whether they will succeed within such a community-based institution. Also, the international student pull allows for a diversified student body and fosters global connections and collaborations. I think there is merit to the proposed amendments, especially the tuition freeze, but there are many disadvantages to the proposal holistically and it leads me to question whether the compliance monitoring will be used for the instructed purposes and nothing more."
25,0,This is an attempt by the federal government to restrict the academic freedoms of universities.
26,0,"Goes against principle neutrality, actively targets and harms many members of the Vanderbilt community"
27,0,I think some aspects are beneficial but others are unreasonable
28,0,Universities are supposed to be a safe place for students to safely share their opinions and ideas. If we sign the contract that will limit student’s abilities to share their voices. How are we supposed to dare to grow if our voices are controlled?
29,0,we should not sign this trump agreement
30,1,"Amazing work by the Trump Administration. I support protecting free speech and institutional neutrality, along with everything else listed. Should be a no brainer for Vanderbilt."
31,0,"Complying with the conditions set by this compact would threaten our right to free speech, because what is an idea that “even sparks political violence”."
32,0,"This is inhumane. Not only will this affect minorities that require the educational opportunities offered at Vandy, but at any other university for that matter. Dont let an"
33,0,If we bend to his will it is over for us as a country.
34,0,"I don’t like the idea that the department of Justice has sole responsibility to determine if we are following the agreement. Since some of the policies are vague and cannot be easily measured, the department of justice would have a hold over Vanderbilt and could threaten to revoke funds whenever they want."
35,0,"Signing this compact violates principle neutrality, would be cowardly, would alienate much of the student body, and would make me embarrassed to attend this school."
36,0,"I think agreeing to the compact is a direct contradiction to the freedom of speech that higher institutions promote and thrive upon. Universities are meant to be a place of discourse, and restricting certain types of speech directly goes against the First Amendment. Restricting professors from certain statements directly contradicts their First Amendment rights. Additionally, “Universities would be required to define terms like ‘male,’ ‘female,’ ‘woman,’ and ‘man’ using the Trump administration’s definition, which is tied to biological processes and reproductive function.” This severely harms the transgender community. No administration should be able to define someone’s gender for them. Gender is a social construct, and freedom should be given to all citizens to express themselves in the way they would like. If Vanderbilt wants to be a place of inclusion to all, they will not agree to this. Why must “Universities…reform or remove units that ‘punish, belittle, or incite violence against conservative ideas,’ while still enforcing rules against harassment and incitement.”? Why does this only apply to one political ideology? Such statements further the political polarization of the United States, which is what initially led to immense division. Though born on American soil, I am a daughter of two immigrants. The only reason I am here and able to live the way I do and pursue higher education is because of their choice to move to the United States. Without support for immigrants, our country wouldn’t have made much of the progress that it did. It is a nation built on immigrants and those of diverse heritages and backgrounds. This is why I do not believe in limiting international applicants. The United States should be a place of diversity, and the “American Dream” pushes promise and opportunity. If we restrict international students from attending, we stray from the ideals that made this country what it is. America should provide opportunity to all, especially if they want to pursue education here. Most current Americans are not from the American indigenous population, which means that most current citizens actually come from a family that immigrated here at one point in time. I urge Vanderbilt to not agree to this compact. I think it defies the basic values of the university, as well as the beliefs that this nation was founded upon. If signed, Vanderbilt will lose respect in the eyes of many, as they will be agreeing to partner with a government administration that oppresses and diminishes many American groups and further pushes political divides."
37,0,"Negotiate on points about free speech and academic freedom, otherwise a good deal, but currently a violation of free speech"
38,0,"As a student deeply committed to the values of academic freedom, inclusion, and independent thought, I am strongly opposed to the proposed Compact for Academic Excellence in Higher Education. Although it presents itself as a framework for improvement, this proposal is a clear intrusion of federal authority into the academic and moral autonomy of universities. Measures such as enforcing rigid, biologically based definitions of sex, banning consideration of race and gender in admissions and hiring, and capping international enrollment would severely undermine the diversity and openness that make higher education so enriching. Additionally, tying federal funding to compliance with politically charged standards threatens to turn universities into extensions of federal policy rather than spaces of free inquiry. The proposed tuition freeze, standardized testing requirements, and cost-control measures also fail to account for the financial and social complexities that universities face, particularly in supporting underrepresented students. I urge Vanderbilt’s administration to reject this Compact and to uphold the institution’s responsibility to protect academic independence, foster diversity, and ensure that all students are free to learn, think, and speak without government interference."
39,0,"The compact's clear intention is to reduce the number of international students as well as the diversity of our student body with respect to race, ethnicity, gender, and other markers of identity. This opposes Vanderbilt's mission to encourage diverse ideas that come from different perspectives and lived experiences. It seems straightforward to me that the compact does not align with this value, which is important not only for the cultivation of a liberal arts environment but also for creative and innovative advancement in Vanderbilt's research and development interests. Additionally, the compact's aim to protect conservative free speech is simply a less effective way of trying to accomplish what Vanderbilt is already surprisingly good at. I have been impressed by the existence of a true culture of free speech at this university which is lacking in much of American higher education. Space is made for, and respect given to, conservative opinions expressed at this institution, and I don't think we need ""help"" in that regard from the Trump administration."
40,0,"This is ridiculous. Vanderbilt is a private university that people pay A LOT of money to attend, and now they might not call people by the name they choose??!! FDT!!!!"
41,0,"This is not only disastrous to the goal of dialogue on campus by limiting the number of different and unique voices that can have a place at our campus, but it is also bending to a specific partisan overreach of power. This directly violates the fundamental idea of institutional neutrality that the university covets."
42,0,The international student cap is ridiculous and shows the nationalistic tendencies of the current administration
43,1,"I think the administration's viewpoints are fair and reflect a common sense approach to higher education. I think the report on administration costs and holding price constant for five years are valid for the nation's situation. I also like the idea of defining ""male"" and ""female"" as the administration has. I don't appreciate the wealthy school clause, but understand that it's generally accepted that the US could use more STEM majors. Overall, I think the Compact is a good idea."
44,0,The federal government should not have access to student records. I am also concerned about the cap on international students.
45,0,A private institution should be able to make its own decisions about admissions hiring and research. Government supervision of what it’s taught is wrong. Pushing a political agenda and forcing people to not oppose other’s beliefs is an attack on free speech.
46,0,This compact contradicts our schools commitment to institutional neutrality.
47,0,"We can't sign the compact as it is. Even though we might get federal funding, and some parts align with our mission like institutional neutrality, we should not define things like sex by Trump's definition. This would reverse all our progress towards gender equality and inclusivity, and seeing as gender is a political issue now, this would not really be institutional neutrality in practice. Also, we cannot cap international students, as they make up a very important part of our student population and provide us with so many new perspectives."
48,0,I think women and international students foster a great community here on campus and the compact will only make these communities not feel as safe as they do now.
49,1,"I especially agree with the tuition freeze and capping of international students, more spots should be given to those in the US"
50,0,It is NOT neutral at all
51,0,"I identify with many conservative beliefs. Punishing departments which “purposefully punish, belittle, and even spark violence against conservative ideas"" goes against not only Vanderbilt's commitment to free and open dialogue, but also our rights as citizens to uphold our freedom of expression. We cannot uphold freedom of expression without cultivating it, which is why we need departments diverse in thought, rhetoric, and education. All ideologies must be scrutinized in order to discover the validity of claims and merits of following a given ideologies. Should Vanderbilt not uphold its commitment of ""institutional neutrality"" just because of a threat of federal funding? I implore the university to keep it's commitments that drew me to attend Vanderbilt and the many donors that invest in Vanderbilt because of it's dedication to institutional neutrality."
52,0,Do not capitulate to the Trump admin. for any and every demand like this. Doing so will instantly delegitimize the institution as a place for academic freedom.
53,0,"We should not be aligning ourselves with this administration, or any administration in general. They are trying to silence free speech and spread ignorance."
54,0,"I think signing the contract would go against Vanderbilt’s own values of freedom of speech and neutrality. By signing the contract, Vanderbilt is under trump’s influence. Although suffering consequences of not signing the compact, Vanderbilt will remain committed to its values in the long run."
55,0,"I think this will significantly limit the institution's academic prestige. Not only that international scholars are one of the main reasons why the institution holds the high academic standards, many of our undergrads choose to become that international student in other countries for study abroad. It would be very much hypocritical if we choose to limit the international population not considering the fact that how much we benefit from them and how much we choose to benefit by the idea of global education. Furthermore, grade transparency and especially the concerns regarding grade inflation is not applicable to all majors / colleges, and in fact, many STEM and other rmost rigorous majors struggle with the exact opposite concept of that. Vanderbilt is unique in a way that there is a wide range of variance in academic settings per major in terms of rigor, class structure, faculty:student ratio, and grade. It would be very much problematic if we try to implement all the things as-is thinking that it would reflect our institution as a whole and cause many issues that not only impact immediately to current students/faculty but also the ""brand"" and reputation of the institution as a whole, which I assume, we all care very much."
56,1,"Tuition inflation, in conjunction with administrative bloat, has made higher education increasingly expensive in proportion to its real value. A large number of conditions in the compact would address this. For one, grade inflation checks would mean more resolution at the high end. In the current landscape, a high GPA means nothing, particularly outside of stem. Other guidelines such as competency based hiring would likely lower administrative bloat, as well as more enforced fiscal responsibility through the cost controls. Transparent student outcomes and the requirement of standardized tests would create a more equitable and healthily competitive landscape for performance. Of course, the tuition freeze is also advantageous to students."
57,0,"Do we have email addresses for Board of Trust (BOT) members? They are ""the bosses"" of the Chancellor. If we have their email addresses, students and faculty could lobby directly to the BOT Members."
58,0,"While holding tuition is appealing to many and seems reasonable, it is against the morals of elite US schools to promote an emphasis towards only enrolling American students. Additionally, removing race and gender-based admission negates affirmative action that would otherwise be crucial to supporting individuals of all backgrounds, not just those who are of a particular race majority or are well-supported financially. Vanderbilt promotes all ideas on campus, not aligning with solely conservative or democratic values, but accepting diversity of opinion."
59,0,This compact is part of a direct threat to democracy and free speech in the next generation.
60,0,Fuck fascists
61,0,None
62,0,"It opens the door to being taken advantage of in the future - if we give in now for something, its stuff that the government can leverage against us / threaten to take away unless Vanderbilt implements even more policies"
