year,state,region,county,county_fips,total_votes,dem_votes,rep_votes,margin,pct_margin,competitiveness,dem_win_state
2000,ALABAMA,South,AUTAUGA,1001,17208,4942,11993,-7051,-0.4097512784751278,-3,0
2000,ALABAMA,South,BALDWIN,1003,56480,13997,40872,-26875,-0.47583215297450426,-3,0
2000,ALABAMA,South,BARBOUR,1005,10395,5188,5096,92,0.00885040885040885,0,0
2000,ALABAMA,South,BIBB,1007,7101,2710,4273,-1563,-0.22010984368398817,-3,0
2000,ALABAMA,South,BLOUNT,1009,17973,4977,12667,-7690,-0.42786401824959663,-3,0
2000,ALABAMA,South,BULLOCK,1011,4904,3395,1433,1962,0.40008156606851547,3,0
2000,ALABAMA,South,BUTLER,1013,7803,3606,4127,-521,-0.06676919133666538,-1,0
2000,ALABAMA,South,CALHOUN,1015,38909,15781,22306,-6525,-0.1676989899509111,-2,0
2000,ALABAMA,South,CHAMBERS,1017,11834,5616,6037,-421,-0.03557546053743451,0,0
2000,ALABAMA,South,CHEROKEE,1019,7823,3497,4154,-657,-0.08398312667774512,-1,0
2000,ALABAMA,South,CHILTON,1021,15092,4806,10066,-5260,-0.34852902199840974,-3,0
2000,ALABAMA,South,CHOCTAW,1023,7374,3707,3600,107,0.014510442093843234,0,0
2000,ALABAMA,South,CLARKE,1025,10752,4679,5988,-1309,-0.12174479166666667,-2,0
2000,ALABAMA,South,CLAY,1027,5883,2045,3719,-1674,-0.28454869964303925,-3,0
2000,ALABAMA,South,CLEBURNE,1029,5092,1664,3333,-1669,-0.3277690494893951,-3,0
2000,ALABAMA,South,COFFEE,1031,15434,5220,9938,-4718,-0.3056887391473371,-3,0
2000,ALABAMA,South,COLBERT,1033,21532,10543,10518,25,0.0011610626044956344,0,0
2000,ALABAMA,South,CONECUH,1035,5551,2783,2699,84,0.015132408575031526,0,0
2000,ALABAMA,South,COOSA,1037,4567,2104,2382,-278,-0.0608714692358222,-1,0
2000,ALABAMA,South,COVINGTON,1039,13613,4440,8961,-4521,-0.3321090134430324,-3,0
2000,ALABAMA,South,CRENSHAW,1041,4795,1934,2793,-859,-0.1791449426485923,-2,0
2000,ALABAMA,South,CULLMAN,1043,29525,9758,19157,-9399,-0.31834038950042337,-3,0
2000,ALABAMA,South,DALE,1045,15806,4906,10593,-5687,-0.35980007592053653,-3,0
2000,ALABAMA,South,DALLAS,1047,18464,10967,7360,3607,0.19535311958405546,2,0
2000,ALABAMA,South,DEKALB,1049,20285,7056,12827,-5771,-0.2844959329553858,-3,0
2000,ALABAMA,South,ELMORE,1051,23804,6652,16777,-10125,-0.4253486808939674,-3,0
2000,ALABAMA,South,ESCAMBIA,1053,11660,4523,6975,-2452,-0.21029159519725557,-3,0
2000,ALABAMA,South,ETOWAH,1055,39348,17433,21087,-3654,-0.09286367795059469,-1,0
2000,ALABAMA,South,FAYETTE,1057,7808,3064,4582,-1518,-0.19441598360655737,-2,0
2000,ALABAMA,South,FRANKLIN,1059,11103,4793,6119,-1326,-0.1194271818427452,-2,0
2000,ALABAMA,South,GENEVA,1061,9559,2769,6588,-3819,-0.3995187781148656,-3,0
2000,ALABAMA,South,GREENE,1063,4396,3504,850,2654,0.6037306642402184,3,0
2000,ALABAMA,South,HALE,1065,7731,4652,2984,1668,0.2157547535894451,3,0
2000,ALABAMA,South,HENRY,1067,6932,2782,4054,-1272,-0.18349682631275246,-2,0
2000,ALABAMA,South,HOUSTON,1069,32057,9412,22150,-12738,-0.3973547119193936,-3,0
2000,ALABAMA,South,JACKSON,1071,17906,9066,8475,591,0.033005696414609625,0,0
2000,ALABAMA,South,JEFFERSON,1073,273763,129889,138491,-8602,-0.031421338895321865,0,0
2000,ALABAMA,South,LAMAR,1075,7249,2653,4470,-1817,-0.25065526279486827,-3,0
2000,ALABAMA,South,LAUDERDALE,1077,32137,13875,17478,-3603,-0.11211376295236021,-2,0
2000,ALABAMA,South,LAWRENCE,1079,12185,6296,5671,625,0.05129257283545342,1,0
2000,ALABAMA,South,LEE,1081,38264,14574,22433,-7859,-0.2053888772736776,-3,0
2000,ALABAMA,South,LIMESTONE,1083,23634,8992,14204,-5212,-0.22052974528222052,-3,0
2000,ALABAMA,South,LOWNDES,1085,6243,4557,1638,2919,0.46756367131186927,3,0
2000,ALABAMA,South,MACON,1087,8831,7665,1091,6574,0.7444230551466425,3,0
2000,ALABAMA,South,MADISON,1089,113318,48199,62151,-13952,-0.12312254010836761,-2,0
2000,ALABAMA,South,MARENGO,1091,9608,4841,4690,151,0.015716069941715236,0,0
2000,ALABAMA,South,MARION,1093,11756,4600,6910,-2310,-0.19649540660088466,-2,0
2000,ALABAMA,South,MARSHALL,1095,27989,10381,17084,-6703,-0.23948694129836723,-3,0
2000,ALABAMA,South,MOBILE,1097,139745,58640,78162,-19522,-0.13969730580700562,-2,0
2000,ALABAMA,South,MONROE,1099,8951,3741,5153,-1412,-0.15774773768294045,-2,0
2000,ALABAMA,South,MONTGOMERY,1101,80328,40371,38827,1544,0.019221193108256148,0,0
2000,ALABAMA,South,MORGAN,1103,42681,16060,25774,-9714,-0.2275954171645463,-3,0
2000,ALABAMA,South,PERRY,1105,5787,4020,1732,2288,0.39536893036115434,3,0
2000,ALABAMA,South,PICKENS,1107,8540,4143,4306,-163,-0.01908665105386417,0,0
2000,ALABAMA,South,PIKE,1109,10544,4357,6058,-1701,-0.16132397572078908,-2,0
2000,ALABAMA,South,RANDOLPH,1111,7919,3094,4666,-1572,-0.19850991286778633,-2,0
2000,ALABAMA,South,RUSSELL,1113,14775,8396,6198,2198,0.14876480541455162,2,0
2000,ALABAMA,South,SHELBY,1117,62128,13183,47651,-34468,-0.5547901107391192,-3,0
2000,ALABAMA,South,ST. CLAIR,1115,24090,6485,17117,-10632,-0.44134495641344956,-3,0
2000,ALABAMA,South,SUMTER,1119,6088,4415,1629,2786,0.4576215505913272,3,0
2000,ALABAMA,South,TALLADEGA,1121,25451,11264,13807,-2543,-0.0999174885073278,-1,0
2000,ALABAMA,South,TALLAPOOSA,1123,16253,6183,9805,-3622,-0.22285116593859594,-3,0
2000,ALABAMA,South,TUSCALOOSA,1125,60114,24614,34003,-9389,-0.15618657883354958,-2,0
2000,ALABAMA,South,WALKER,1127,25641,11621,13486,-1865,-0.07273507273507274,-1,0
2000,ALABAMA,South,WASHINGTON,1129,7596,3386,4117,-731,-0.09623486045286993,-1,0
2000,ALABAMA,South,WILCOX,1131,5126,3444,1661,1783,0.3478345688646118,3,0
2000,ALABAMA,South,WINSTON,1133,9318,2692,6413,-3721,-0.3993346211633398,-3,0
2000,ALASKA,West,DISTRICT 1,2001,6656,1284,4681,-3397,-0.5103665865384616,-3,0
2000,ALASKA,West,DISTRICT 10,2010,8884,2194,5673,-3479,-0.39160288158487166,-3,0
2000,ALASKA,West,DISTRICT 11,2011,6980,2043,3960,-1917,-0.27464183381088825,-3,0
2000,ALASKA,West,DISTRICT 12,2012,7601,2051,4626,-2575,-0.33877121431390605,-3,0
2000,ALASKA,West,DISTRICT 13,2013,7943,2661,3853,-1192,-0.1500692433589324,-2,0
2000,ALASKA,West,DISTRICT 14,2014,5868,1626,3750,-2124,-0.3619631901840491,-3,0
2000,ALASKA,West,DISTRICT 15,2015,5870,2106,2453,-347,-0.05911413969335605,-1,0
2000,ALASKA,West,DISTRICT 16,2016,4685,1969,1980,-11,-0.0023479188900747067,0,0
2000,ALASKA,West,DISTRICT 17,2017,7704,2230,4564,-2334,-0.3029595015576324,-3,0
2000,ALASKA,West,DISTRICT 18,2018,9882,2739,5421,-2682,-0.27140255009107467,-3,0
2000,ALASKA,West,DISTRICT 19,2019,7951,2350,4619,-2269,-0.28537290906804175,-3,0
2000,ALASKA,West,DISTRICT 2,2002,7388,2081,4235,-2154,-0.29155387114239306,-3,0
2000,ALASKA,West,DISTRICT 20,2020,6963,2259,3648,-1389,-0.1994829814735028,-2,0
2000,ALASKA,West,DISTRICT 21,2021,6629,2309,3263,-954,-0.14391310906622418,-2,0
2000,ALASKA,West,DISTRICT 22,2022,8525,2656,4910,-2254,-0.26439882697947215,-3,0
2000,ALASKA,West,DISTRICT 23,2023,4630,1282,2961,-1679,-0.36263498920086396,-3,0
2000,ALASKA,West,DISTRICT 24,2024,7915,1985,5063,-3078,-0.38888186986734047,-3,0
2000,ALASKA,West,DISTRICT 25,2025,8201,1697,5489,-3792,-0.4623826362638703,-3,0
2000,ALASKA,West,DISTRICT 26,2026,8590,1608,5869,-4261,-0.4960419091967404,-3,0
2000,ALASKA,West,DISTRICT 27,2027,10438,2199,6714,-4515,-0.4325541291435141,-3,0
2000,ALASKA,West,DISTRICT 28,2028,11040,2116,7113,-4997,-0.45262681159420287,-3,0
2000,ALASKA,West,DISTRICT 29,2029,8823,2806,4054,-1248,-0.14144848690921455,-2,0
2000,ALASKA,West,DISTRICT 3,2003,8225,3693,3135,558,0.0678419452887538,1,0
2000,ALASKA,West,DISTRICT 30,2030,6083,1698,3622,-1924,-0.3162913036330758,-3,0
2000,ALASKA,West,DISTRICT 31,2031,5965,1831,3326,-1495,-0.250628667225482,-3,0
2000,ALASKA,West,DISTRICT 32,2032,6033,1389,4178,-2789,-0.4622907342947124,-3,0
2000,ALASKA,West,DISTRICT 33,2033,8712,1765,5804,-4039,-0.463613406795225,-3,0
2000,ALASKA,West,DISTRICT 34,2034,7154,1300,5243,-3943,-0.5511601901034386,-3,0
2000,ALASKA,West,DISTRICT 35,2035,6382,1208,4278,-3070,-0.4810404261986838,-3,0
2000,ALASKA,West,DISTRICT 36,2036,5577,1945,3007,-1062,-0.1904249596557289,-2,0
2000,ALASKA,West,DISTRICT 37,2037,5028,1821,2725,-904,-0.17979315831344472,-2,0
2000,ALASKA,West,DISTRICT 38,2038,4976,2015,2467,-452,-0.09083601286173633,-1,0
2000,ALASKA,West,DISTRICT 39,2039,5188,2282,2321,-39,-0.007517347725520432,0,0
2000,ALASKA,West,DISTRICT 4,2004,7823,2715,4127,-1412,-0.1804934168477566,-2,0
2000,ALASKA,West,DISTRICT 40,2040,3226,1024,1831,-807,-0.25015499070055797,-3,0
2000,ALASKA,West,DISTRICT 5,2005,6437,1931,3545,-1614,-0.2507379213919528,-3,0
2000,ALASKA,West,DISTRICT 6,2006,6100,1542,3862,-2320,-0.380327868852459,-3,0
2000,ALASKA,West,DISTRICT 7,2007,8677,1893,4868,-2975,-0.34286043563443586,-3,0
2000,ALASKA,West,DISTRICT 8,2008,7978,1498,5371,-3873,-0.48546001504136377,-3,0
2000,ALASKA,West,DISTRICT 9,2009,6800,1203,4789,-3586,-0.5273529411764706,-3,0
2000,ARIZONA,West,APACHE,4001,19456,13025,5947,7078,0.3637952302631579,3,0
2000,ARIZONA,West,COCHISE,4003,33241,13360,18180,-4820,-0.14500165458319544,-2,0
2000,ARIZONA,West,COCONINO,4005,40883,20280,17562,2718,0.06648240099796981,1,0
2000,ARIZONA,West,GILA,4007,17736,7700,9158,-1458,-0.08220568335588634,-1,0
2000,ARIZONA,West,GRAHAM,4009,9664,3355,6007,-2652,-0.27442052980132453,-3,0
2000,ARIZONA,West,GREENLEE,4011,2960,1216,1619,-403,-0.13614864864864865,-2,0
2000,ARIZONA,West,LA PAZ,4012,4483,1769,2543,-774,-0.1726522418023645,-2,0
2000,ARIZONA,West,MARICOPA,4013,901699,386683,479967,-93284,-0.10345359149782798,-2,0
2000,ARIZONA,West,MOHAVE,4015,44141,17470,24386,-6916,-0.15667973086246348,-2,0
