id,region,age,educ,female,race,hispanic,polviews,trump_rating,repub_rating,maga_rating
1,New England,33,16,0,Black,0,4,0,6,0
2,New England,64,16,0,White,0,3,NA,NA,NA
3,New England,69,14,1,White,0,1,0,0,0
4,New England,19,12,0,Other,0,NA,50,50,50
5,New England,70,13,1,White,0,4,60,60,60
6,New England,53,14,0,Other,1,NA,NA,NA,NA
7,New England,48,13,1,White,0,2,0,15,0
8,New England,30,14,1,White,0,4,30,50,40
9,New England,60,14,1,Black,0,4,0,30,0
10,New England,25,12,0,Black,0,4,50,50,50
11,New England,23,18,1,White,1,2,0,0,0
12,New England,68,5,1,White,0,1,0,15,15
13,New England,43,14,1,White,0,NA,NA,NA,NA
14,New England,37,12,1,White,0,1,0,0,0
15,New England,63,12,1,White,0,4,0,50,0
16,New England,31,19,1,White,0,3,0,20,0
17,New England,64,16,0,White,0,4,75,0,0
18,New England,NA,13,NA,White,NA,4,70,NA,NA
19,New England,63,11,1,White,0,5,80,70,60
20,New England,41,8,1,White,1,4,70,70,70
21,Middle Atlantic,75,13,1,White,0,4,15,50,50
22,Middle Atlantic,51,16,1,Asian,0,2,0,0,0
23,Middle Atlantic,69,14,0,White,0,4,20,20,10
24,Middle Atlantic,48,12,0,White,1,6,100,90,100
25,Middle Atlantic,58,14,0,Asian,1,4,70,60,70
26,Middle Atlantic,71,18,0,White,0,5,80,50,50
27,Middle Atlantic,73,16,1,White,0,4,0,20,0
28,Middle Atlantic,74,14,1,White,0,4,0,0,0
29,Middle Atlantic,56,14,1,White,0,6,100,100,100
30,Middle Atlantic,40,14,0,Asian,NA,3,50,50,50
31,Middle Atlantic,55,13,1,White,0,5,85,85,85
32,Middle Atlantic,55,18,1,White,0,4,NA,NA,NA
33,Middle Atlantic,31,12,0,Other,1,NA,100,65,50
34,Middle Atlantic,61,18,1,White,0,1,0,15,0
35,Middle Atlantic,71,12,1,White,0,3,60,70,50
36,Middle Atlantic,70,16,1,White,0,5,85,NA,NA
37,Middle Atlantic,60,16,1,White,0,6,75,50,80
38,Middle Atlantic,57,11,1,American Indian,0,5,50,25,25
39,Middle Atlantic,37,16,1,Other,1,7,80,80,100
40,Middle Atlantic,26,12,0,White,1,5,50,0,0
41,Middle Atlantic,59,12,0,White,0,5,60,50,50
42,Middle Atlantic,65,12,0,White,0,4,50,40,50
43,Middle Atlantic,71,17,1,White,0,4,80,80,80
44,Middle Atlantic,41,18,1,White,0,3,25,25,0
45,Middle Atlantic,58,17,0,White,0,6,30,35,0
46,Middle Atlantic,79,17,0,White,0,4,0,15,0
47,Middle Atlantic,83,16,1,White,0,4,65,50,52
48,Middle Atlantic,57,16,0,White,0,4,0,0,0
49,Middle Atlantic,NA,16,0,White,0,3,2,25,10
50,Middle Atlantic,65,11,0,White,0,6,100,NA,NA
51,Middle Atlantic,74,16,1,White,0,4,0,0,0
52,Middle Atlantic,61,18,1,White,0,5,35,65,40
53,Middle Atlantic,24,16,1,White,0,3,10,50,35
54,Middle Atlantic,61,6,0,Black,0,1,0,85,60
55,Middle Atlantic,56,16,1,Asian,0,3,0,30,0
56,Middle Atlantic,72,16,1,White,0,3,0,0,0
57,Middle Atlantic,NA,12,1,White,0,NA,15,30,30
58,Middle Atlantic,49,18,1,White,0,2,0,0,0
59,Middle Atlantic,78,13,0,White,0,4,0,30,0
60,Middle Atlantic,63,13,1,Other,1,2,0,70,0
61,Middle Atlantic,57,18,1,White,0,2,0,0,0
62,Middle Atlantic,26,16,0,Asian,0,3,10,30,0
63,Middle Atlantic,89,12,1,White,0,6,NA,25,NA
64,Middle Atlantic,79,15,0,White,0,7,85,85,70
65,Middle Atlantic,22,16,1,White,0,2,0,15,0
66,Middle Atlantic,49,17,1,Other,1,4,50,50,40
67,Middle Atlantic,52,16,1,White,0,2,0,0,0
68,Middle Atlantic,70,17,0,White,0,3,5,15,0
69,Middle Atlantic,23,15,0,Asian,1,2,35,20,10
70,Middle Atlantic,25,16,1,Asian,0,5,50,50,50
71,Middle Atlantic,41,17,1,Other,1,4,50,50,50
72,Middle Atlantic,37,16,0,Asian,0,5,0,16,0
73,Middle Atlantic,32,16,0,White,0,6,75,0,0
74,Middle Atlantic,32,16,0,Asian,0,2,70,70,NA
75,Middle Atlantic,54,12,0,Black,0,4,65,70,50
76,Middle Atlantic,56,13,0,Black,0,1,0,0,0
77,Middle Atlantic,28,16,1,White,0,5,40,35,10
78,Middle Atlantic,46,16,1,White,0,2,0,20,0
79,Middle Atlantic,20,14,1,Other,1,6,50,50,0
80,Middle Atlantic,31,16,0,White,0,2,0,15,0
81,Middle Atlantic,49,12,0,NA,1,4,90,100,80
82,Middle Atlantic,59,16,1,Black,1,6,100,100,100
83,Middle Atlantic,65,NA,0,White,0,2,15,50,50
84,Middle Atlantic,74,3,1,Black,1,4,50,50,50
85,Middle Atlantic,47,17,1,NA,1,4,50,NA,NA
86,Middle Atlantic,62,14,1,Other,NA,4,50,0,0
87,Middle Atlantic,37,13,1,Other,1,5,70,NA,80
88,Middle Atlantic,50,12,1,NA,1,2,40,40,0
89,Middle Atlantic,34,14,1,NA,1,5,0,NA,NA
90,Middle Atlantic,36,16,0,Asian,0,1,90,88,88
91,Middle Atlantic,75,14,1,Black,0,3,0,0,0
92,Middle Atlantic,41,13,1,NA,1,6,100,70,100
93,Middle Atlantic,36,7,1,Asian,0,4,0,0,0
94,Middle Atlantic,41,17,0,Asian,0,NA,50,0,50
95,Middle Atlantic,79,12,0,White,0,2,0,30,0
96,Middle Atlantic,26,13,0,Black,0,4,60,20,30
97,Middle Atlantic,55,12,1,Black,0,NA,NA,60,50
98,Middle Atlantic,34,12,0,NA,1,3,80,90,70
99,Middle Atlantic,54,12,0,Black,0,5,0,0,0
100,Middle Atlantic,61,15,1,Black,0,3,0,20,0
101,Middle Atlantic,72,14,1,Black,0,3,0,50,0
102,Middle Atlantic,54,16,1,Black,0,1,0,0,0
103,Middle Atlantic,57,20,1,Black,1,2,0,10,0
104,Middle Atlantic,60,18,0,Other,1,5,100,70,NA
105,Middle Atlantic,86,16,1,NA,0,2,0,10,0
106,Middle Atlantic,66,12,0,White,0,7,100,100,85
107,Middle Atlantic,55,12,1,Other,1,3,45,52,50
108,Middle Atlantic,48,12,0,Black,0,4,75,60,50
109,Middle Atlantic,34,14,1,Black,1,2,50,65,65
110,Middle Atlantic,32,16,1,Other,1,1,100,100,0
111,Middle Atlantic,68,15,1,American Indian,0,6,9,22,75
112,Middle Atlantic,35,12,1,Black,0,3,0,40,0
113,Middle Atlantic,44,12,1,White,1,NA,NA,NA,NA
114,Middle Atlantic,48,12,0,Black,0,4,75,50,75
115,Middle Atlantic,43,14,0,NA,1,6,51,0,0
116,Middle Atlantic,43,13,1,Black,1,4,50,50,50
117,Middle Atlantic,45,12,1,White,1,NA,50,0,0
118,Middle Atlantic,63,13,1,NA,1,2,0,0,0
119,Middle Atlantic,27,12,0,NA,1,NA,100,50,50
120,Middle Atlantic,37,16,1,Other,1,NA,30,30,20
121,Middle Atlantic,60,12,1,Black,0,4,0,0,0
122,Middle Atlantic,22,NA,0,Black,0,1,0,0,0
123,Middle Atlantic,44,10,0,Black,0,4,90,0,0
124,Middle Atlantic,24,12,0,Asian,0,1,100,100,100
125,Middle Atlantic,51,13,0,Black,NA,4,15,0,0
126,Middle Atlantic,39,14,1,Black,0,2,35,50,45
127,Middle Atlantic,55,20,0,Black,0,2,15,50,50
128,Middle Atlantic,48,11,1,White,1,6,0,0,0
129,Middle Atlantic,60,16,0,White,0,2,0,0,0
130,Middle Atlantic,60,16,1,White,0,5,85,85,60
131,Middle Atlantic,70,17,1,Other,1,6,NA,50,NA
132,Middle Atlantic,65,18,0,White,0,4,40,50,60
133,Middle Atlantic,54,13,0,Black,0,3,0,0,0
134,Middle Atlantic,45,11,1,Black,1,2,50,30,30
135,Middle Atlantic,38,12,1,Other,1,3,50,50,50
136,Middle Atlantic,22,15,0,Other,1,6,0,0,0
137,Middle Atlantic,76,16,1,White,0,4,25,50,50
138,Middle Atlantic,42,20,0,White,0,2,0,5,0
139,Middle Atlantic,89,16,1,White,0,7,100,60,90
140,Middle Atlantic,89,12,1,White,0,3,0,20,0
141,Middle Atlantic,56,16,1,White,0,4,65,65,65
142,Middle Atlantic,55,14,1,Black,0,4,0,0,0
143,Middle Atlantic,41,18,0,White,0,4,0,25,5
144,Middle Atlantic,53,16,0,White,0,4,0,15,0
145,Middle Atlantic,60,16,1,White,0,1,0,0,0
146,Middle Atlantic,72,13,1,White,1,4,50,80,50
147,Middle Atlantic,72,16,0,White,0,5,75,70,75
148,Middle Atlantic,72,16,1,White,0,3,0,40,15
149,Middle Atlantic,89,16,1,White,0,4,1,10,1
150,Middle Atlantic,71,12,1,White,0,6,100,70,85
151,Middle Atlantic,74,17,1,White,0,4,0,20,0
152,Middle Atlantic,30,16,1,White,0,6,60,60,85
153,Middle Atlantic,77,16,1,White,0,2,0,10,0
154,Middle Atlantic,73,12,1,White,0,5,30,15,30
155,Middle Atlantic,65,20,1,White,0,3,0,5,30
156,Middle Atlantic,59,16,0,White,0,4,0,35,0
157,Middle Atlantic,49,13,0,White,0,5,45,70,30
158,Middle Atlantic,64,19,1,White,0,4,0,5,0
159,Middle Atlantic,70,18,0,White,0,4,0,0,0
160,Middle Atlantic,68,14,0,White,0,1,0,0,0
161,Middle Atlantic,31,18,0,White,0,2,0,0,0
162,Middle Atlantic,36,16,1,White,0,3,0,0,0
163,Middle Atlantic,36,16,0,White,0,2,0,0,0
164,Middle Atlantic,45,16,1,White,0,4,60,60,50
165,Middle Atlantic,67,20,0,White,0,6,50,60,50
166,Middle Atlantic,52,16,1,White,0,5,60,60,40
167,Middle Atlantic,35,20,1,Other,1,3,15,40,15
168,Middle Atlantic,28,18,1,Black,0,4,50,50,50
169,Middle Atlantic,41,16,1,Black,0,2,0,0,0
170,Middle Atlantic,23,17,1,White,0,3,15,40,30
171,Middle Atlantic,27,17,1,Black,NA,4,0,15,15
172,Middle Atlantic,55,16,0,Other,1,4,50,15,30
173,Middle Atlantic,69,4,1,White,0,NA,50,NA,NA
174,Middle Atlantic,65,12,1,White,0,2,0,0,0
175,Middle Atlantic,38,14,1,Black,0,6,0,0,0
176,Middle Atlantic,37,12,0,White,0,6,90,85,80
177,Middle Atlantic,70,12,0,White,0,2,0,0,0
178,Middle Atlantic,62,12,0,White,0,7,100,100,100
179,Middle Atlantic,70,18,1,White,0,6,0,50,0
180,Middle Atlantic,64,15,1,White,0,4,15,50,15
181,Middle Atlantic,60,16,1,White,1,3,0,0,0
182,Middle Atlantic,42,13,1,Black,0,4,0,0,0
183,Middle Atlantic,27,16,0,Black,0,2,35,25,30
184,Middle Atlantic,NA,20,1,Black,0,4,NA,NA,NA
185,Middle Atlantic,66,18,0,White,0,2,0,8,0
186,Middle Atlantic,58,16,1,Black,0,4,0,0,0
187,Middle Atlantic,69,16,0,White,0,2,0,0,0
188,Middle Atlantic,37,16,1,Asian,0,2,0,0,0
189,Middle Atlantic,49,16,1,White,0,5,10,35,15
190,Middle Atlantic,72,19,0,White,0,2,0,10,15
191,Middle Atlantic,22,16,1,White,0,NA,100,NA,100
192,Middle Atlantic,80,20,0,White,0,2,5,20,10
193,Middle Atlantic,57,18,0,White,0,4,0,38,0
194,Middle Atlantic,75,15,1,White,0,6,95,70,95
195,Middle Atlantic,32,16,0,White,0,1,0,0,0
196,Pacific,34,14,1,Asian,1,4,80,NA,50
197,Pacific,34,12,0,Other,1,4,10,15,0
198,Pacific,34,12,0,Other,1,3,0,0,50
199,Pacific,64,14,0,White,0,4,50,50,0
200,Pacific,71,9,0,American Indian,1,2,0,0,0
201,Pacific,21,12,0,Other,1,6,60,70,70
202,Pacific,29,20,NA,White,0,NA,0,NA,NA
203,Pacific,62,15,1,White,1,3,60,40,80
204,Pacific,73,13,1,Asian,0,5,85,70,60
205,Pacific,62,15,0,White,0,7,85,70,70
206,Pacific,NA,1,0,Other,1,4,50,80,60
207,Pacific,74,14,1,White,0,4,0,15,NA
208,Pacific,26,6,1,NA,1,3,100,0,100
209,Pacific,58,17,1,Asian,0,3,0,0,0
210,Pacific,18,12,1,Other,1,3,34,20,20
211,Pacific,22,12,0,White,1,3,75,70,60
212,Pacific,30,12,0,Black,0,3,50,5,0
213,Pacific,39,16,0,Other,1,6,50,50,50
214,Pacific,19,13,0,Other,1,4,40,50,20
215,Pacific,41,12,1,Black,0,4,50,50,50
216,Pacific,38,11,1,Other,1,4,NA,NA,NA
217,Pacific,24,18,1,American Indian,0,1,0,0,0
218,Pacific,66,14,0,White,0,3,0,15,0
219,Pacific,33,12,0,White,0,1,0,0,0
220,Pacific,48,16,1,Black,0,1,0,0,0
221,Pacific,21,15,1,Other,1,1,0,0,0
222,Pacific,28,11,0,Other,1,5,65,50,50
223,Pacific,28,12,0,Other,1,4,100,0,0
224,Pacific,29,12,1,Other,1,6,50,NA,NA
225,Pacific,18,11,0,Other,1,NA,100,50,50
226,Pacific,40,14,0,Other,1,4,50,50,50
227,Pacific,62,17,0,White,0,6,55,55,65
228,Pacific,39,12,0,White,0,4,60,60,50
229,Pacific,NA,12,1,Other,1,4,0,0,0
230,Pacific,53,18,1,White,1,2,0,0,0
231,Pacific,41,18,1,White,1,3,0,0,0
232,Pacific,72,14,0,Asian,0,2,0,0,0
233,Pacific,34,14,1,American Indian,1,4,0,0,0
234,Pacific,35,16,1,Asian,0,3,60,60,60
