year,state,district,party,committee_type,ad_spending
2004,AL,1,dem,1,124967
2004,AL,1,rep,1,390541
2004,AL,1,rep,3,1000
2004,AL,3,dem,1,5402
2004,AL,3,rep,1,777931
2004,AL,3,rep,3,32
2004,AL,4,dem,1,8528
2004,AL,4,rep,1,26983
2004,AR,2,dem,1,472178
2004,AR,2,rep,1,42460
2004,AR,2,rep,3,3511
2004,AR,3,dem,1,60620
2004,AR,3,rep,1,132933
2004,AZ,1,dem,1,634555
2004,AZ,1,dem,5,1398
2004,AZ,1,dem,3,5000
2004,AZ,1,dem,2,1133514
2004,AZ,1,rep,1,12573
2004,AZ,1,rep,3,571469
2004,AZ,1,rep,2,1604272
2004,AZ,2,dem,1,33279
2004,AZ,2,rep,1,65058
2004,AZ,2,rep,3,6487
2004,AZ,8,dem,1,39252
2004,AZ,8,rep,1,160556
2004,AZ,8,rep,3,56
2004,CA,3,dem,1,21354
2004,CA,3,dem,3,43
2004,CA,3,rep,1,832392
2004,CA,9,dem,1,19300
2004,CA,9,dem,3,43
2004,CA,9,rep,1,22991
2004,CA,11,dem,1,7478
2004,CA,11,dem,3,43
2004,CA,11,rep,1,155614
2004,CA,11,rep,3,209
2004,CA,15,dem,1,5038
2004,CA,15,dem,3,43
2004,CA,15,rep,1,20543
2004,CA,17,dem,1,116540
2004,CA,17,dem,3,43
2004,CA,17,rep,1,115022
2004,CA,20,dem,1,995400
2004,CA,20,dem,3,299743
2004,CA,20,dem,2,398660
2004,CA,20,rep,1,619582
2004,CA,20,rep,3,7365
2004,CA,20,rep,2,2002774
2004,CA,23,dem,1,14569
2004,CA,23,dem,5,178
2004,CA,23,dem,3,43
2004,CA,23,dem,2,1111
2004,CA,23,rep,1,23180
2004,CA,24,dem,1,4042
2004,CA,24,dem,3,43
2004,CA,24,rep,1,1500
2004,CA,26,dem,1,1246
2004,CA,26,dem,3,43
2004,CA,26,rep,1,93339
2004,CA,29,dem,1,1745
2004,CA,29,dem,3,43
2004,CA,29,rep,1,292326
2004,CA,30,dem,1,3554
2004,CA,30,dem,3,216
2004,CA,30,rep,1,117779
2004,CA,36,dem,1,832
2004,CA,36,dem,3,43
2004,CA,36,rep,1,1055
2004,CA,39,dem,1,112753
2004,CA,39,dem,5,178
2004,CA,39,dem,3,43
2004,CA,39,rep,1,211556
2004,CA,43,dem,1,1243
2004,CA,43,dem,3,43
2004,CA,43,rep,1,6279
2004,CA,43,rep,2,1416
2004,CA,44,dem,1,304
2004,CA,44,dem,3,43
2004,CA,44,rep,1,19111
2004,CA,45,dem,1,43442
2004,CA,45,dem,3,43
2004,CA,45,rep,1,48178
2004,CA,45,rep,3,56
2004,CA,46,dem,1,19777
2004,CA,46,dem,3,43
2004,CA,46,rep,1,25350
2004,CA,47,dem,1,191001
2004,CA,47,dem,3,7892
2004,CA,47,rep,1,3358
2004,CA,47,rep,3,32
2004,CA,50,dem,1,34561
