ccode,stateabb,year,mil_indicator,amount
2,USA,1816,spending,3823
2,USA,1816,personnel,17
2,USA,1817,spending,2466
2,USA,1817,personnel,15
2,USA,1818,spending,1910
2,USA,1818,personnel,14
2,USA,1819,spending,2301
2,USA,1819,personnel,13
2,USA,1820,spending,1556
2,USA,1820,personnel,15
2,USA,1821,spending,1612
2,USA,1821,personnel,11
2,USA,1822,spending,1079
2,USA,1822,personnel,10
2,USA,1823,spending,1170
2,USA,1823,personnel,11
2,USA,1824,spending,1261
2,USA,1824,personnel,11
2,USA,1825,spending,1336
2,USA,1825,personnel,11
2,USA,1826,spending,1658
2,USA,1826,personnel,12
2,USA,1827,spending,1663
2,USA,1827,personnel,12
2,USA,1828,spending,1622
2,USA,1828,personnel,11
2,USA,1829,spending,1678
2,USA,1829,personnel,12
2,USA,1830,spending,1687
2,USA,1830,personnel,12
2,USA,1831,spending,1835
2,USA,1831,personnel,11
2,USA,1832,spending,1896
2,USA,1832,personnel,12
2,USA,1833,spending,2445
2,USA,1833,personnel,13
2,USA,1834,spending,2073
2,USA,1834,personnel,13
2,USA,1835,spending,2001
2,USA,1835,personnel,14
2,USA,1836,spending,2571
2,USA,1836,personnel,17
2,USA,1837,spending,3121
2,USA,1837,personnel,22
2,USA,1838,spending,3083
2,USA,1838,personnel,18
2,USA,1839,spending,2012
2,USA,1839,personnel,19
2,USA,1840,spending,2755
2,USA,1840,personnel,22
2,USA,1841,spending,3042
2,USA,1841,personnel,21
2,USA,1842,spending,3011
2,USA,1842,personnel,23
2,USA,1843,spending,1364
2,USA,1843,personnel,21
2,USA,1844,spending,2432
2,USA,1844,personnel,21
2,USA,1845,spending,3534
2,USA,1845,personnel,21
2,USA,1846,spending,9506
2,USA,1846,personnel,39
2,USA,1847,spending,7431
2,USA,1847,personnel,58
2,USA,1848,spending,8106
2,USA,1848,personnel,60
2,USA,1849,spending,3558
2,USA,1849,personnel,23
2,USA,1850,spending,4302
2,USA,1850,personnel,21
2,USA,1851,spending,3525
2,USA,1851,personnel,21
2,USA,1852,spending,4226
2,USA,1852,personnel,21
2,USA,1853,spending,4605
2,USA,1853,personnel,21
2,USA,1854,spending,5765
2,USA,1854,personnel,21
2,USA,1855,spending,5892
2,USA,1855,personnel,26
2,USA,1856,spending,6117
2,USA,1856,personnel,26
2,USA,1857,spending,7499
2,USA,1857,personnel,27
2,USA,1858,spending,7297
2,USA,1858,personnel,29
2,USA,1859,spending,5638
2,USA,1859,personnel,29
2,USA,1860,spending,7060
2,USA,1860,personnel,28
2,USA,1861,spending,95362
2,USA,1861,personnel,217
2,USA,1862,spending,136769
2,USA,1862,personnel,673
2,USA,1863,spending,119662
2,USA,1863,personnel,960
2,USA,1864,spending,157390
2,USA,1864,personnel,1032
2,USA,1865,spending,30471
2,USA,1865,personnel,1063
2,USA,1866,spending,17821
2,USA,1866,personnel,77
2,USA,1867,spending,30698
2,USA,1867,personnel,75
2,USA,1868,spending,20154
