year,votes_counted,voting_age_pop,voting_eligible_pop,ineligible_felons,ineligible_noncitizens,eligible_overseas
1980,86.515221,164.445475,159.690927,0.801977,5.755591625000001,1.803021
1982,67.615576,166.027633,160.408786,0.959637,6.64110532,1.981895
1984,92.65268,173.99461,167.708463,1.165246,7.481768229999999,2.360867
1986,64.991128,177.92233,170.408916,1.367117,8.36234951,2.216053
1988,91.594691,181.955484,173.609148,1.593976,9.279729683999998,2.52737
1990,67.859189,186.158841,176.678314,1.901246,10.238736255000001,2.659455
1992,104.405155,190.777923,179.565711,2.183185,11.446675379999999,2.417648
1994,75.10586,195.25835,182.54939,2.44094,12.4965344,2.228514
1996,96.262935,200.015917,186.327678,2.586413,13.601082356000001,2.499256
1998,74.825832,205.313182,190.342439,2.919881,14.987862285999999,2.937
2000,107.390107,210.623408,194.25966,3.082746,16.218002416,2.937
2002,80.295249,215.461549,198.364707,3.168063,17.236923920000002,3.308145
2004,123.535883,220.336019,202.972858,3.158443,18.067553557999997,3.862836
2006,85.769132,225.485399,207.148064,3.363118,19.391744314,4.417527
2008,132.609063,230.87203,213.306165,3.144831,19.39325052,4.972217
2010,90.895897,240.897888,221.776507,3.333347,20.717218367999997,4.972217
2012,130.231296,240.897888,222.437494,3.35239,20.235422592,5.127418
2014,83.155963,245.497227,227.137053,3.329718,20.376269841000003,5.345814
2016,138.747904,249.964761,230.780798,3.176484,20.747075163,4.739596
2018,118.581921,253.979028,236.918088,2.983538,19.048427099999998,4.971025
2020,159.738337,259.219518,242.077783,2.671296,19.441463849999998,4.971025
2022,112.030874,260.725069,242.907672,2.663018,19.554380175000002,4.4
